modulation,source_snr_db,jammer_type,jsr_db,num_samples,detection_rate,mean_jam_probability
16APSK,0.0,chirp,10.0,10,1.0,0.9999995827674866
16APSK,0.0,tone,-10.0,10,0.0,0.18917233049869536
16APSK,0.0,tone,-5.0,10,0.8,0.6746718794107437
16APSK,0.0,tone,0.0,10,1.0,0.9990370392799377
16APSK,0.0,tone,5.0,10,1.0,0.9999957919120789
16APSK,0.0,tone,10.0,10,1.0,0.9999954581260682
16APSK,10.0,barrage,-10.0,10,0.2,0.3129513017833233
16APSK,10.0,barrage,-5.0,10,1.0,0.9234467089176178
16APSK,10.0,barrage,0.0,10,1.0,0.9999717473983765
16APSK,10.0,barrage,5.0,10,1.0,0.999999487400055
16APSK,10.0,barrage,10.0,10,1.0,1.0
16APSK,10.0,chirp,-10.0,10,0.3,0.3704053573310375
16APSK,10.0,chirp,-5.0,10,1.0,0.9214467763900757
16APSK,10.0,chirp,0.0,10,1.0,0.9999844670295716
16APSK,10.0,chirp,5.0,10,1.0,0.9999977111816406
16APSK,10.0,chirp,10.0,10,1.0,0.9999998927116394
16APSK,10.0,tone,-10.0,10,0.5,0.47890866845846175
16APSK,10.0,tone,-5.0,10,1.0,0.9766827583312988
16APSK,10.0,tone,0.0,10,1.0,0.999469256401062
16APSK,10.0,tone,5.0,10,1.0,0.9999635934829711
16APSK,10.0,tone,10.0,10,1.0,0.9999999165534973
16APSK,20.0,barrage,-10.0,9,0.1111111111111111,0.2772924668259091
16APSK,20.0,barrage,-5.0,9,1.0,0.9011356367005242
16APSK,20.0,barrage,0.0,9,1.0,0.999961687458886
16APSK,20.0,barrage,5.0,9,1.0,0.9999997350904677
16APSK,20.0,barrage,10.0,9,1.0,1.0
16APSK,20.0,chirp,-10.0,9,0.2222222222222222,0.33091694447729325
16APSK,20.0,chirp,-5.0,9,0.8888888888888888,0.8898879951900907
16APSK,20.0,chirp,0.0,9,1.0,0.9999455544683669
16APSK,20.0,chirp,5.0,9,1.0,0.9999994569354587
16APSK,20.0,chirp,10.0,9,1.0,0.9999999337726169
16APSK,20.0,tone,-10.0,9,0.3333333333333333,0.40764860974417794
16APSK,20.0,tone,-5.0,9,0.8888888888888888,0.8641913384199142
16APSK,20.0,tone,0.0,9,1.0,0.999909520149231
16APSK,20.0,tone,5.0,9,1.0,0.9999728401501974
16APSK,20.0,tone,10.0,9,1.0,0.9999999072816637
16APSK,30.0,barrage,-10.0,9,0.1111111111111111,0.3395504413379563
16APSK,30.0,barrage,-5.0,9,1.0,0.94457831647661
16APSK,30.0,barrage,0.0,9,1.0,0.9999761051601834
16APSK,30.0,barrage,5.0,9,1.0,0.9999998675452338
16APSK,30.0,barrage,10.0,9,1.0,1.0
16APSK,30.0,chirp,-10.0,9,0.1111111111111111,0.3614913788106706
16APSK,30.0,chirp,-5.0,9,1.0,0.9466612339019775
16APSK,30.0,chirp,0.0,9,1.0,0.9999665286805894
16APSK,30.0,chirp,5.0,9,1.0,0.9999987681706747
16APSK,30.0,chirp,10.0,9,1.0,0.9999999735090468
16APSK,30.0,tone,-10.0,9,0.4444444444444444,0.5296283430523343
16APSK,30.0,tone,-5.0,9,1.0,0.9656834999720255
16APSK,30.0,tone,0.0,9,1.0,0.9998542931344774
16APSK,30.0,tone,5.0,9,1.0,0.9999977747599283
16APSK,30.0,tone,10.0,9,1.0,0.999999894036187
16PSK,-20.0,barrage,-10.0,9,0.0,0.06550945589939754
16PSK,-20.0,barrage,-5.0,9,0.0,0.32769659492704606
16PSK,-20.0,barrage,0.0,9,1.0,0.9919432004292806
16PSK,-20.0,barrage,5.0,9,1.0,0.9999962515301175
16PSK,-20.0,barrage,10.0,9,1.0,0.9999999470180936
16PSK,-20.0,chirp,-10.0,9,0.0,0.06912174117234018
16PSK,-20.0,chirp,-5.0,9,0.1111111111111111,0.3773038072718514
16PSK,-20.0,chirp,0.0,9,1.0,0.9928388661808438
16PSK,-20.0,chirp,5.0,9,1.0,0.999935249487559
16PSK,-20.0,chirp,10.0,9,1.0,0.9999983045789931
16PSK,-20.0,tone,-10.0,9,0.0,0.07008790555927488
16PSK,-20.0,tone,-5.0,9,0.2222222222222222,0.45180142919222516
16PSK,-20.0,tone,0.0,9,1.0,0.9843490256203545
16PSK,-20.0,tone,5.0,9,1.0,0.9999845690197415
16PSK,-20.0,tone,10.0,9,1.0,0.9999807675679525
16PSK,-10.0,barrage,-10.0,10,0.0,0.0644875142723322
16PSK,-10.0,barrage,-5.0,10,0.0,0.2590340331196785
16PSK,-10.0,barrage,0.0,10,1.0,0.9916553139686585
16PSK,-10.0,barrage,5.0,10,1.0,0.999996030330658
16PSK,-10.0,barrage,10.0,10,1.0,0.9999999165534973
16PSK,-10.0,chirp,-10.0,10,0.0,0.06601492501795292
16PSK,-10.0,chirp,-5.0,10,0.2,0.345390710234642
16PSK,-10.0,chirp,0.0,10,1.0,0.9701919972896575
16PSK,-10.0,chirp,5.0,10,1.0,0.9999895453453064
16PSK,-10.0,chirp,10.0,10,1.0,0.9999994754791259
16PSK,-10.0,tone,-10.0,10,0.0,0.08250548504292965
16PSK,-10.0,tone,-5.0,10,0.3,0.4294609062373638
16PSK,-10.0,tone,0.0,10,1.0,0.9840988636016845
16PSK,-10.0,tone,5.0,10,1.0,0.9999390244483948
16PSK,-10.0,tone,10.0,10,1.0,0.9999949097633362
16PSK,0.0,barrage,-10.0,10,0.0,0.13939166814088821
16PSK,0.0,barrage,-5.0,10,0.7,0.5620806902647019
16PSK,0.0,barrage,0.0,10,1.0,0.9964810848236084
16PSK,0.0,barrage,5.0,10,1.0,0.999998128414154
16PSK,0.0,barrage,10.0,10,1.0,0.9999999642372132
16PSK,0.0,chirp,-10.0,10,0.0,0.13401608243584634
16PSK,0.0,chirp,-5.0,10,0.8,0.6100177198648453
16PSK,0.0,chirp,0.0,10,1.0,0.9907774150371551
16PSK,0.0,chirp,5.0,10,1.0,0.9999976515769958
16PSK,0.0,chirp,10.0,10,1.0,0.9999990224838257
16PSK,0.0,tone,-10.0,10,0.0,0.15690601319074632
16PSK,0.0,tone,-5.0,10,0.8,0.64505355656147
16PSK,0.0,tone,0.0,10,1.0,0.9940663874149323
16PSK,0.0,tone,5.0,10,1.0,0.999995481967926
16PSK,0.0,tone,10.0,10,1.0,0.9999987721443176
16PSK,10.0,barrage,-10.0,10,0.0,0.07164504602551461
16PSK,10.0,barrage,-5.0,10,0.7,0.5450203955173493
16PSK,10.0,barrage,0.0,10,1.0,0.996498453617096
16PSK,10.0,barrage,5.0,10,1.0,0.9999986886978149
16PSK,10.0,barrage,10.0,10,1.0,0.9999999880790711
16PSK,10.0,chirp,-10.0,10,0.0,0.07005022540688514
16PSK,10.0,chirp,-5.0,10,0.6,0.5890422716736794
16PSK,10.0,chirp,0.0,10,1.0,0.996481865644455
16PSK,10.0,chirp,5.0,10,1.0,0.9999667942523957
16PSK,10.0,chirp,10.0,10,1.0,0.9999994158744812
16PSK,10.0,tone,-10.0,10,0.0,0.0925005804747343
16PSK,10.0,tone,-5.0,10,0.9,0.7259728297591209
16PSK,10.0,tone,0.0,10,1.0,0.95222008228302
16PSK,10.0,tone,5.0,10,1.0,0.9999978303909302
16PSK,10.0,tone,10.0,10,1.0,0.999998939037323
16PSK,20.0,barrage,-10.0,10,0.0,0.09111760444939136
16PSK,20.0,barrage,-5.0,10,0.7,0.6025961399078369
16PSK,20.0,barrage,0.0,10,1.0,0.9973150610923767
16PSK,20.0,barrage,5.0,10,1.0,0.9999988675117493
16PSK,20.0,barrage,10.0,10,1.0,0.9999999880790711
16PSK,20.0,chirp,-10.0,10,0.0,0.14045211672782898
16PSK,20.0,chirp,-5.0,10,0.8,0.7307513236999512
16PSK,20.0,chirp,0.0,10,1.0,0.9928385436534881
16PSK,20.0,chirp,5.0,10,1.0,0.9999965071678162
16PSK,20.0,chirp,10.0,10,1.0,0.9999997735023498
16PSK,20.0,tone,-10.0,10,0.0,0.1073035541921854
16PSK,20.0,tone,-5.0,10,0.9,0.763012869656086
16PSK,20.0,tone,0.0,10,1.0,0.9956264793872833
16PSK,20.0,tone,5.0,10,1.0,0.9999898314476013
16PSK,20.0,tone,10.0,10,1.0,0.9999994516372681
16PSK,30.0,barrage,-10.0,10,0.0,0.08259227722883225
16PSK,30.0,barrage,-5.0,10,0.8,0.5678074449300766
16PSK,30.0,barrage,0.0,10,1.0,0.996421080827713
16PSK,30.0,barrage,5.0,10,1.0,0.9999987721443176
16PSK,30.0,barrage,10.0,10,1.0,1.0
16PSK,30.0,chirp,-10.0,10,0.0,0.08219483252614737
16PSK,30.0,chirp,-5.0,10,0.8,0.6647415310144424
16PSK,30.0,chirp,0.0,10,1.0,0.9976677775382996
16PSK,30.0,chirp,5.0,10,1.0,0.9999957323074341
16PSK,30.0,chirp,10.0,10,1.0,0.9999996304512024
16PSK,30.0,tone,-10.0,10,0.0,0.12435856461524963
16PSK,30.0,tone,-5.0,10,0.8,0.6733493119478225
16PSK,30.0,tone,0.0,10,1.0,0.9990658283233642
16PSK,30.0,tone,5.0,10,1.0,0.9999869465827942
16PSK,30.0,tone,10.0,10,1.0,0.9999922513961792
16QAM,-20.0,barrage,-10.0,10,0.0,0.07178349643945695
16QAM,-20.0,barrage,-5.0,10,0.1,0.3240743428468704
16QAM,-20.0,barrage,0.0,10,1.0,0.9913283824920655
16QAM,-20.0,barrage,5.0,10,1.0,0.9999967575073242
16QAM,-20.0,barrage,10.0,10,1.0,0.9999999165534973
16QAM,-20.0,chirp,-10.0,10,0.0,0.08163018561899663
16QAM,-20.0,chirp,-5.0,10,0.5,0.43276029974222185
16QAM,-20.0,chirp,0.0,10,1.0,0.9697141826152802
16QAM,-20.0,chirp,5.0,10,1.0,0.9999980330467224
16QAM,-20.0,chirp,10.0,10,1.0,0.9999989986419677
16QAM,-20.0,tone,-10.0,10,0.0,0.10820401012897492
16QAM,-20.0,tone,-5.0,10,0.1,0.3730138152837753
16QAM,-20.0,tone,0.0,10,1.0,0.9982173383235932
16QAM,-20.0,tone,5.0,10,1.0,0.9999932765960693
16QAM,-20.0,tone,10.0,10,1.0,0.9999988317489624
16QAM,-10.0,barrage,-10.0,10,0.0,0.06555340923368931
16QAM,-10.0,barrage,-5.0,10,0.0,0.3158354669809341
16QAM,-10.0,barrage,0.0,10,1.0,0.9906755208969116
16QAM,-10.0,barrage,5.0,10,1.0,0.9999972343444824
16QAM,-10.0,barrage,10.0,10,1.0,0.9999999165534973
16QAM,-10.0,chirp,-10.0,10,0.0,0.07556535266339778
16QAM,-10.0,chirp,-5.0,10,0.5,0.45756479203701017
16QAM,-10.0,chirp,0.0,10,1.0,0.992016726732254
16QAM,-10.0,chirp,5.0,10,1.0,0.9999562561511993
16QAM,-10.0,chirp,10.0,10,1.0,0.9999983549118042
16QAM,-10.0,tone,-10.0,10,0.0,0.0663940105587244
16QAM,-10.0,tone,-5.0,10,0.1,0.35731791257858275
16QAM,-10.0,tone,0.0,10,1.0,0.9889580368995666
16QAM,-10.0,tone,5.0,10,1.0,0.9999912858009339
16QAM,-10.0,tone,10.0,10,1.0,0.9999782919883728
16QAM,0.0,barrage,-10.0,9,0.0,0.1283016080657641
16QAM,0.0,barrage,-5.0,9,0.6666666666666666,0.5346401168240441
16QAM,0.0,barrage,0.0,9,1.0,0.9962210125393338
16QAM,0.0,barrage,5.0,9,1.0,0.9999977085325453
16QAM,0.0,barrage,10.0,9,1.0,0.9999999735090468
16QAM,0.0,chirp,-10.0,9,0.0,0.12490044037501018
16QAM,0.0,chirp,-5.0,9,0.7777777777777778,0.6026225056913164
16QAM,0.0,chirp,0.0,9,1.0,0.9969234069188436
16QAM,0.0,chirp,5.0,9,1.0,0.9999978542327881
16QAM,0.0,chirp,10.0,9,1.0,0.9999996953540378
